Sat Jan 18 11:59:53 2020

BALL_MONTE_CARLO_TEST
  Python version: 3.6.9
  Estimate integrals over the interior of the unit ball
  using the Monte Carlo method.

         N        1              X^2             Y^2             Z^2             X^4           X^2Y^2           Z^4

         1         4.18879         2.59164        0.432618        0.013535         1.60347        0.267665     4.37346e-05
         2         4.18879        0.659631        0.830391         1.70135        0.203948      0.00300374         0.69701
         4         4.18879        0.380562         1.38041         1.26727       0.0455772         0.16959        0.855896
         8         4.18879        0.785702         1.13033        0.258724        0.300715        0.247206       0.0257482
        16         4.18879        0.719783        0.724846         1.05447        0.286558       0.0463292        0.443435
        32         4.18879        0.978543        0.826876        0.754479        0.502048       0.0904477         0.32004
        64         4.18879         0.81145        0.804884        0.798963        0.343104       0.0940871        0.377262
       128         4.18879        0.942346        0.825243        0.805723        0.408091        0.141734        0.330285
       256         4.18879        0.787519        0.840333         0.92577        0.338776        0.110301        0.406714
       512         4.18879        0.811483        0.860367        0.858154        0.346357        0.117363        0.370417
      1024         4.18879        0.809216        0.847393         0.86149        0.341805        0.116392         0.36545
      2048         4.18879        0.842907         0.83642        0.863556        0.357086        0.122062        0.366998
      4096         4.18879        0.855212        0.837975        0.822525        0.361003         0.12864        0.351441
      8192         4.18879        0.843541        0.854439        0.846967        0.357262        0.124782        0.366115
     16384         4.18879        0.833791        0.834711        0.840724         0.35605        0.117597         0.35717
     32768         4.18879        0.843707        0.843534        0.838025        0.363298        0.121456         0.35845
     65536         4.18879        0.838441         0.83714        0.839997         0.35885        0.119685        0.362353

     Exact         4.18879        0.837758        0.837758        0.837758        0.359039         0.11968        0.359039
Sat Jan 18 11:59:55 2020
