Wed Oct  8 07:26:24 2025

ball_monte_carlo_test():
  python version: 3.10.12
  numpy version:  1.26.4
  Estimate integrals over the interior of the unit ball
  using the Monte Carlo method.

         N        1              X^2             Y^2             Z^2             X^4           X^2Y^2           Z^4

         1         4.18879        0.876564      0.00167365       0.0199939        0.183434     0.000350235     9.54345e-05
         2         4.18879         1.47616        0.239966         2.07053         1.03766         0.16665          1.8578
         4         4.18879        0.950303        0.592284        0.208317        0.492863        0.122624       0.0208309
         8         4.18879        0.990989         1.19475         0.36214        0.385091        0.236919        0.066194
        16         4.18879        0.461719        0.707126         1.09199        0.102144       0.0854683        0.502718
        32         4.18879        0.647474        0.844547        0.909323        0.268943       0.0876989        0.389529
        64         4.18879        0.924287        0.716224         0.81792        0.404012        0.108136        0.350451
       128         4.18879         0.88328        0.747315        0.795571        0.397969        0.106303        0.334629
       256         4.18879        0.830367        0.876685        0.892502        0.344041        0.122647         0.40096
       512         4.18879        0.852168        0.788665        0.832575        0.374349         0.12259        0.348534
      1024         4.18879        0.874417        0.807948        0.818252        0.385234        0.114793        0.351206
      2048         4.18879        0.845072        0.829153        0.821855        0.371711        0.118908        0.355849
      4096         4.18879        0.853051        0.824197        0.821963        0.372723        0.121103        0.350559
      8192         4.18879        0.845126           0.831        0.827498        0.362035        0.119585        0.355424
     16384         4.18879        0.836629        0.843327        0.842795        0.361638        0.118938         0.36343
     32768         4.18879        0.835875        0.833523        0.833015        0.358641        0.119727        0.356273
     65536         4.18879        0.834931        0.830897        0.840006          0.3588        0.118205        0.360631

     Exact         4.18879        0.837758        0.837758        0.837758        0.359039         0.11968        0.359039
Wed Oct  8 07:26:25 2025
