Wed Oct  8 07:27:21 2025

casino_simulation_test():
  python version: 3.10.12
  numpy version:  1.26.4
  Test casino_simulation().

   i   win  lose    stakes

      0      0      0         5000.00
      1      0      1         4150.00
      2      1      1         4980.00
      3      2      1         5976.00
      4      3      1         7171.20
      5      4      1         8605.44
      6      4      2         7142.52
      7      4      3         5928.29
      8      4      4         4920.48
      9      5      4         5904.57
     10      6      4         7085.49
     11      6      5         5880.96
     12      7      5         7057.15
     13      7      6         5857.43
     14      7      7         4861.67
     15      8      7         5834.00
     16      9      7         7000.80
     17      9      8         5810.67
     18     10      8         6972.80
     19     10      9         5787.42
     20     10     10         4803.56
     21     11     10         5764.27
     22     12     10         6917.13
     23     13     10         8300.55
     24     14     10         9960.67
     25     15     10        11952.80
     26     16     10        14343.36
     27     16     11        11904.99
     28     17     11        14285.99
     29     18     11        17143.18
     30     19     11        20571.82
     31     19     12        17074.61
     32     20     12        20489.53
     33     21     12        24587.44
     34     22     12        29504.93
     35     22     13        24489.09
     36     23     13        29386.91
     37     23     14        24391.13
     38     24     14        29269.36
     39     25     14        35123.23
     40     26     14        42147.88
     41     26     15        34982.74
     42     26     16        29035.67
     43     26     17        24099.61
     44     26     18        20002.67
     45     26     19        16602.22
     46     27     19        19922.66
     47     27     20        16535.81
     48     28     20        19842.97
     49     29     20        23811.57
     50     30     20        28573.88
     51     31     20        34288.66
     52     32     20        41146.39
     53     32     21        34151.50
     54     32     22        28345.75
     55     33     22        34014.90
     56     34     22        40817.88
     57     35     22        48981.45
     58     36     22        58777.74
     59     37     22        70533.29
     60     38     22        84639.95
     61     39     22       101567.94
     62     40     22       121881.52
     63     41     22       146257.83
     64     42     22       175509.40
     65     43     22       210611.27
     66     44     22       252733.53
     67     44     23       209768.83
     68     45     23       251722.60
     69     46     23       302067.11
     70     47     23       362480.54
     71     48     23       434976.65
     72     48     24       361030.62
     73     49     24       433236.74
     74     49     25       359586.49
     75     49     26       298456.79
     76     50     26       358148.15
     77     50     27       297262.96
     78     51     27       356715.55
     79     52     27       428058.67
     80     53     27       513670.40
     81     53     28       426346.43
     82     54     28       511615.72
     83     55     28       613938.86
     84     56     28       736726.63
     85     57     28       884071.96
     86     57     29       733779.73
     87     57     30       609037.17
     88     58     30       730844.61
     89     59     30       877013.53
     90     59     31       727921.23
     91     60     31       873505.47
     92     61     31      1048206.57
     93     62     31      1257847.88
     94     63     31      1509417.46
     95     64     31      1811300.95
     96     64     32      1503379.79
     97     65     32      1804055.75
     98     66     32      2164866.90
     99     67     32      2597840.28
    100     67     33      2156207.43

  Number of trials was  500
  Each trial involved tossing a coin  100  times
  Initial stakes were  5000.0
  Number of trials with a final loss =  264
  Minimum final stakes:  23.468902143203668
  Average final stakes:  19439.24090553427
  Maximum final stakes:  713478.8061087489
  Standard deviation:    56270.63151261672

casino_simulation_test():
  Normal end of execution.
Wed Oct  8 07:27:22 2025
