Wed Oct  8 07:27:29 2025

change_polynomial_test():
  python version: 3.10.12
  numpy version:  1.26.4
  change_polynomial() uses a polynomial algorithm to count
  the number of ways of using a given number of coins to make a sum.

  Sum  3 coins  0/1/2/3 coins

   0      0      1
   1      0      3
   2      0      3
   3      1      1
   4      0      0
   5      0      3
   6      0      6
   7      3      3
   8      0      0
   9      0      0
  10      0      6
  11      3      9
  12      3      3
  13      0      0
  14      0      0
  15      1      7
  16      6      6
  17      0      0
  18      0      0
  19      0      0
  20      3      6
  21      3      3
  22      0      0
  23      0      0
  24      0      0
  25      3      6
  26      0      6
  27      3      3
  28      0      0
  29      0      0
  30      1      7
  31      6      6
  32      0      0
  33      0      0
  34      0      0
  35      3      9
  36      6      6
  37      0      0
  38      0      0
  39      0      0
  40      6      6
  41      0      0
  42      0      0
  43      0      0
  44      0      0
  45      3      3
  46      0      0
  47      0      0
  48      0      0
  49      0      0
  50      0      3
  51      3      3
  52      0      0
  53      0      0
  54      0      0
  55      3      3
  56      0      0
  57      0      0
  58      0      0
  59      0      0
  60      3      3
  61      0      0
  62      0      0
  63      0      0
  64      0      0
  65      0      0
  66      0      0
  67      0      0
  68      0      0
  69      0      0
  70      0      0
  71      0      0
  72      0      0
  73      0      0
  74      0      0
  75      1      1

change_polynomial_test():
  Normal end of execution.
Wed Oct  8 07:27:30 2025
