Wed Oct  8 07:53:20 2025

hexagon_monte_carlo_test():
  python version: 3.10.12
  numpy version:  1.26.4
  Test hexagon_monte_carlo().

hexagon01_monte_carlo_test01():
  hexagon01_monte_carlo() estimates
  monomial integrals x^p y^q over the unit hexagon.

   N  P   Q             Nu(P,Q)

       1   0   0         2.59808
       2   0   0         2.59808
       4   0   0         2.59808
       8   0   0         2.59808
      16   0   0         2.59808
      32   0   0         2.59808
      64   0   0         2.59808
     128   0   0         2.59808
     256   0   0         2.59808
     512   0   0         2.59808
    1024   0   0         2.59808
    2048   0   0         2.59808
    4096   0   0         2.59808
    8192   0   0         2.59808
   16384   0   0         2.59808
   32768   0   0         2.59808
   Exact   0   0         2.59808

       1   2   0        0.972605
       2   2   0        0.470774
       4   2   0        0.628158
       8   2   0        0.520475
      16   2   0          0.4819
      32   2   0        0.392309
      64   2   0         0.59457
     128   2   0        0.518038
     256   2   0        0.527266
     512   2   0        0.520461
    1024   2   0        0.575622
    2048   2   0        0.530942
    4096   2   0        0.541196
    8192   2   0        0.528398
   16384   2   0        0.536269
   32768   2   0        0.540536
   Exact   2   0        0.541266

       1   0   2       0.0513298
       2   0   2       0.0489756
       4   0   2        0.837493
       8   0   2        0.457028
      16   0   2        0.496895
      32   0   2        0.457609
      64   0   2        0.607205
     128   0   2        0.521154
     256   0   2        0.595949
     512   0   2        0.553317
    1024   0   2        0.561218
    2048   0   2        0.534209
    4096   0   2        0.542869
    8192   0   2        0.542925
   16384   0   2        0.542297
   32768   0   2        0.543534
   Exact   0   2        0.541266

       1   4   0        0.135683
       2   4   0        0.102195
       4   4   0        0.225685
       8   4   0         0.17119
      16   4   0        0.259332
      32   4   0        0.223913
      64   4   0        0.338631
     128   4   0        0.193342
     256   4   0        0.236169
     512   4   0        0.239876
    1024   4   0        0.222042
    2048   4   0        0.223042
    4096   4   0        0.229626
    8192   4   0        0.227286
   16384   4   0        0.223909
   32768   4   0        0.224336
   Exact   4   0        0.227332

       1   2   2        0.181154
       2   2   2      0.00348714
       4   2   2       0.0034012
       8   2   2        0.113271
      16   2   2       0.0437981
      32   2   2       0.0684553
      64   2   2       0.0607356
     128   2   2       0.0691339
     256   2   2       0.0798051
     512   2   2       0.0884836
    1024   2   2       0.0775605
    2048   2   2       0.0803392
    4096   2   2       0.0729474
    8192   2   2        0.077575
   16384   2   2       0.0759928
   32768   2   2       0.0760645
   Exact   2   2       0.0757772

       1   0   4     4.32358e-05
       2   0   4        0.491572
       4   0   4        0.166931
       8   0   4        0.250292
      16   0   4        0.153849
      32   0   4        0.267493
      64   0   4        0.178999
     128   0   4        0.187857
     256   0   4        0.196551
     512   0   4        0.206587
    1024   0   4        0.227429
    2048   0   4        0.239184
    4096   0   4        0.221394
    8192   0   4        0.230572
   16384   0   4        0.223177
   32768   0   4        0.226698
   Exact   0   4        0.227332

       1   6   0     2.51192e-11
       2   6   0     6.15835e-05
       4   6   0       0.0282184
       8   6   0       0.0326621
      16   6   0        0.114106
      32   6   0       0.0761886
      64   6   0        0.146047
     128   6   0       0.0904649
     256   6   0        0.107172
     512   6   0        0.125226
    1024   6   0        0.122867
    2048   6   0        0.119973
    4096   6   0        0.134997
    8192   6   0        0.123255
   16384   6   0        0.123739
   32768   6   0         0.12473
   Exact   6   0        0.123235

       1   4   2      0.00268816
       2   4   2     3.74099e-05
