Wed Oct  8 08:46:09 2025

poisson_2d_test():
  python version: 3.10.12
  numpy version:  1.26.4
  Test poisson_2d().

poisson_2d():
  A program for solving the Poisson equation:
    -DEL^2 U = F(X,Y)
  on the rectangle 0 <= X <= 1, 0 <= Y <= 1.

  F(X,Y) = pi^2 * ( x^2 + y^2 ) * sin ( pi * x * y )

  The number of X grid points is  11
  The number of Y grid points is  11
  The X grid spacing is  0.1
  The Y grid spacing is  0.1
  RMS of F =  0.43774037729931964
  RMS of exact solution U =  0.05459070004171762

Step    |Unew|     |Unew-U|     |Unew-Exact|

   0     0.0261345                   0.0479284
  1     0.0271559    0.00737746     0.0435798
  2     0.0285359    0.00438226     0.0404039
  3     0.0298719     0.0033454      0.037743
  4      0.031132    0.00277839     0.0354092
  5     0.0323174    0.00240566      0.033314
  6     0.0334336    0.00213437     0.0314067
  7     0.0344862    0.00192386     0.0296539
  8     0.0354805    0.00175327     0.0280325
  9     0.0364207    0.00161066     0.0265249
 10     0.0373108    0.00148866     0.0251179
 11     0.0381543    0.00138243     0.0238007
 12      0.038954    0.00128863     0.0225645
 13     0.0397129    0.00120488      0.021402
 14     0.0404334    0.00112943     0.0203069
 15     0.0411177    0.00106093     0.0192739
 16      0.041768   0.000998361     0.0182983
 17     0.0423862   0.000940892     0.0173759
 18     0.0429741   0.000887867     0.0165032
 19     0.0435332    0.00083875     0.0156769
 20     0.0440652   0.000793096     0.0148939
 21     0.0445714   0.000750534     0.0141517
 22     0.0450533   0.000710751     0.0134477
 23      0.045512    0.00067348     0.0127798
 24     0.0459487   0.000638493     0.0121458
 25     0.0463645   0.000605593      0.011544
 26     0.0467605   0.000574608     0.0109724
 27     0.0471376   0.000545389     0.0104295
 28     0.0474967   0.000517802     0.0099138
 29     0.0478388   0.000491731    0.00942376
 30     0.0481646   0.000467071    0.00895808
 31      0.048475   0.000443727     0.0085155
 32     0.0487706   0.000421616    0.00809482
 33     0.0490522   0.000400659    0.00769494
 34     0.0493204   0.000380788    0.00731479
 35     0.0495759   0.000361938    0.00695339
 36     0.0498192    0.00034405    0.00660978
 37      0.050051   0.000327069    0.00628308
 38     0.0502718   0.000310946    0.00597244
 39     0.0504821   0.000295633    0.00567706
 40     0.0506824   0.000281088    0.00539618
 41     0.0508732   0.000267268    0.00512909
 42     0.0510549   0.000254136    0.00487511
 43     0.0512279   0.000241657    0.00463358
 44     0.0513927   0.000229795     0.0044039
 45     0.0515496   0.000218521    0.00418547
 46      0.051699   0.000207804    0.00397775
 47     0.0518413   0.000197615     0.0037802
 48     0.0519768   0.000187928    0.00359234
 49     0.0521058   0.000178718    0.00341367
 50     0.0522286   0.000169961    0.00324376
 51     0.0523455   0.000161635    0.00308217
 52     0.0524569   0.000153717    0.00292849
 53     0.0525629   0.000146188    0.00278233
 54     0.0526638   0.000139029    0.00264334
 55     0.0527598   0.000132221    0.00251115
 56     0.0528512   0.000125747    0.00238543
 57     0.0529383    0.00011959    0.00226586
 58     0.0530211   0.000113735    0.00215215
 59        0.0531   0.000108167    0.00204401
 60      0.053175   0.000102872    0.00194116
 61     0.0532465   9.78356e-05    0.00184334
 62     0.0533145   9.30464e-05    0.00175032
 63     0.0533792   8.84917e-05    0.00166185
 64     0.0534408     8.416e-05    0.00157771
