Wed Oct  8 08:47:21 2025

porous_medium_exact_test():
  python version: 3.10.12
  numpy version:  1.26.4
  Test porous_medium_exact(),
  an exact solution of the porous medium equation.

  parameters:
    c =  0.11547005383792515
    delta =  0.013333333333333334
    m =  3
    t0 =  0.0
    tstop =  4.0

porous_medium_residual_test():
  Evaluate solution and residual at selected points (X,T)

      X       T       U(X,T)      Resid(X,T)

   -1.0000    0.0000           0  0
   -0.8000    0.0000           0  0
   -0.6000    0.0000           0  0
   -0.4000    0.0000   2.451e-08  2.38419e-07
   -0.2000    0.0000       0.866  -1.42109e-14
    0.0000    0.0000           1  -7.10543e-15
    0.2000    0.0000       0.866  -3.55271e-15
    0.4000    0.0000           0  0
    0.6000    0.0000           0  0
    0.8000    0.0000           0  0
    1.0000    0.0000           0  0

   -1.0000    1.0000      0.1802  -2.77556e-17
   -0.8000    1.0000      0.2492  4.16334e-17
   -0.6000    1.0000      0.2917  -4.16334e-17
   -0.4000    1.0000      0.3187  -2.77556e-17
   -0.2000    1.0000      0.3338  1.38778e-17
    0.0000    1.0000      0.3387  -1.38778e-17
    0.2000    1.0000      0.3338  0
    0.4000    1.0000      0.3187  -2.77556e-17
    0.6000    1.0000      0.2917  -2.77556e-17
    0.8000    1.0000      0.2492  4.16334e-17
    1.0000    1.0000      0.1802  -2.77556e-17

   -1.0000    2.0000         0.2  -1.38778e-17
   -0.8000    2.0000      0.2343  6.93889e-18
   -0.6000    2.0000      0.2578  6.93889e-18
   -0.4000    2.0000      0.2734  0
   -0.2000    2.0000      0.2824  -1.38778e-17
    0.0000    2.0000      0.2853  0
    0.2000    2.0000      0.2824  -6.93889e-18
    0.4000    2.0000      0.2734  0
    0.6000    2.0000      0.2578  0
    0.8000    2.0000      0.2343  6.93889e-18
    1.0000    2.0000         0.2  -1.38778e-17

   -1.0000    3.0000      0.1971  0
   -0.8000    3.0000       0.221  0
   -0.6000    3.0000      0.2378  -3.46945e-18
   -0.4000    3.0000      0.2492  0
   -0.2000    3.0000      0.2558  0
    0.0000    3.0000      0.2579  0
    0.2000    3.0000      0.2558  3.46945e-18
    0.4000    3.0000      0.2492  -3.46945e-18
    0.6000    3.0000      0.2378  -6.93889e-18
    0.8000    3.0000       0.221  0
    1.0000    3.0000      0.1971  0

   -1.0000    4.0000       0.192  0
   -0.8000    4.0000      0.2106  3.46945e-18
   -0.6000    4.0000       0.224  0
   -0.4000    4.0000      0.2331  0
   -0.2000    4.0000      0.2383  0
    0.0000    4.0000      0.2401  0
    0.2000    4.0000      0.2383  -1.73472e-18
    0.4000    4.0000      0.2331  1.73472e-18
    0.6000    4.0000       0.224  0
    0.8000    4.0000      0.2106  3.46945e-18
    1.0000    4.0000       0.192  0


porous_medium_exact_test():
  Normal end of execution.
Wed Oct  8 08:47:22 2025
