Wed Oct  8 08:52:58 2025

ring_data_test():
  python version: 3.10.12
  numpy version:  1.26.4
  ring_data() creates, plots, and saves ring data.

RING_INPUT_PRINT:

     I   Pop        Rad1        Rad2

     0    40      1.0000      3.0000
     1    60      6.0000      7.0000
     2   100      9.0000     10.0000

RING_DATA_PRINT:

     I    ID           R           X           Y

     0     2      9.6775     -0.0556     -9.6773
     1     2      9.3728      6.3022     -6.9377
     2     0      2.9447     -0.8884     -2.8075
     3     2      9.0404     -8.9218     -1.4592
     4     0      1.8715     -0.0320      1.8712
     5     0      2.5112      2.4014     -0.7345
     6     2      9.4539      4.1585      8.4901
     7     2      9.6902     -9.3896     -2.3951
     8     2      9.6479     -2.2815      9.3743
     9     1      6.0058     -5.8587      1.3211
    10     2      9.5132     -0.3808      9.5056
    11     1      6.8548     -6.4646      2.2798
    12     2      9.4734      5.7025      7.5649
    13     2      9.6572     -9.6514      0.3338
    14     2      9.4606     -9.2772     -1.8538
    15     2      9.0761     -9.0577     -0.5774
    16     2      9.2043      7.2302     -5.6959
    17     1      6.7201      5.8332     -3.3368
    18     2      9.1790     -9.1320      0.9279
    19     1      6.3545      3.9843     -4.9503
    20     2      9.9391      6.8431      7.2082
    21     1      6.4483      3.1395      5.6325
    22     2      9.5816      8.7239     -3.9626
    23     1      6.4133      6.2779     -1.3105
    24     1      6.8751     -6.8734     -0.1508
    25     2      9.5359     -8.6194      4.0791
    26     2      9.0214     -5.5546      7.1086
    27     0      2.7592     -2.6268     -0.8444
    28     0      2.1030      1.6545      1.2982
    29     0      2.4672      2.4577     -0.2163
    30     0      1.4949      1.4072     -0.5044
    31     0      2.7166      2.6902     -0.3776
    32     2      9.7275     -5.6341     -7.9298
    33     2      9.7816      4.2957      8.7879
    34     2      9.5862     -8.2216     -4.9297
    35     2      9.2428     -9.1644     -1.2007
    36     2      9.4233      8.9243     -3.0260
    37     2      9.2256      2.6448     -8.8383
    38     1      6.7239     -5.0219      4.4712
    39     2      9.3431      3.2351     -8.7652
    40     0      1.9459     -1.7353      0.8805
    41     0      2.3700     -1.5696      1.7758
    42     2      9.0984     -5.3264     -7.3763
    43     1      6.0957      4.1454      4.4692
    44     1      6.1188     -5.0071      3.5170
    45     2      9.9968      7.3171      6.8115
    46     2      9.7144     -5.4224     -8.0602
    47     1      6.9147      3.9947     -5.6440
    48     1      6.8105     -4.2151     -5.3494
    49     2      9.7161      9.6670     -0.9761
    50     0      1.0084     -0.2279      0.9824
    51     2      9.7354     -0.2959      9.7309
