Wed Oct  8 08:55:20 2025

sine_gordon_exact_test():
  python version: 3.10.12
  numpy version:  1.26.4
  Test sine_gordon_exact().

  Parameter values:
    a     =  1.5

  Evaluate solution and residual at selected points (X,Y)

      X       Y       U(X,Y)      Resid(X,Y)

  0.000000  0.000000  3.141593  -1.22465e-16
  0.200000  0.000000  3.732790  2.22045e-16
  0.400000  0.000000  4.275464  2.22045e-16
  0.600000  0.000000  4.738557  2.22045e-16
  0.800000  0.000000  5.112977  2.22045e-16
  1.000000  0.000000  5.405049  3.33067e-16

  0.000000  0.200000  3.407473  5.55112e-17
  0.200000  0.200000  3.982344  1.11022e-16
  0.400000  0.200000  4.492113  0
  0.600000  0.200000  4.915788  1.11022e-16
  0.800000  0.200000  5.252247  4.44089e-16
  1.000000  0.200000  5.511783  -5.55112e-16

  0.000000  0.400000  3.668715  2.22045e-16
  0.200000  0.400000  4.218728  -6.66134e-16
  0.400000  0.400000  4.691482  -1.11022e-16
  0.600000  0.400000  5.075644  -1.11022e-16
  0.800000  0.400000  5.376279  0
  1.000000  0.400000  5.606120  -2.22045e-16

  0.000000  0.600000  3.921075  0
  0.200000  0.600000  4.439537  6.66134e-16
  0.400000  0.600000  4.873132  3.33067e-16
  0.600000  0.600000  5.218905  3.33067e-16
  0.800000  0.600000  5.486311  1.11022e-16
  1.000000  0.600000  5.689313  2.22045e-16

  0.000000  0.800000  4.161015  -3.33067e-16
  0.200000  0.800000  4.643296  -4.44089e-16
  0.400000  0.800000  5.037272  -3.33067e-16
  0.600000  0.800000  5.346633  3.33067e-16
  0.800000  0.800000  5.583628  2.22045e-16
  1.000000  0.800000  5.762552  -3.33067e-16

  0.000000  1.000000  4.385891  -1.11022e-16
  0.200000  1.000000  4.829378  0
  0.400000  1.000000  5.184591  -1.11022e-16
  0.600000  1.000000  5.460046  1.11022e-16
  0.800000  1.000000  5.669493  1.11022e-16
  1.000000  1.000000  5.826939  2.22045e-16


sine_gordon_exact_test():
  Normal end of execution.
Wed Oct  8 08:55:20 2025
