Wed Oct  8 08:56:34 2025

standing_wave_exact_test():
  python version: 3.10.12
  numpy version:  1.26.4
  Test standing_wave_exact(),
  an exact standing wave solution of the wave equation.

  parameters:
    c     =  0.2
    xmin  =  -1.0
    xmax  =  1.0
    t0    =  0.0
    tstop =  5.0

standing_wave_residual_test():
  Evaluate solution and residual at selected points (X,T)

      X       T       U(X,T)      Resid(X,T)

   -1.0000    0.0000     -0.8415  0
   -0.8000    0.0000     -0.7174  0
   -0.6000    0.0000     -0.5646  0
   -0.4000    0.0000     -0.3894  0
   -0.2000    0.0000     -0.1987  0
    0.0000    0.0000           0  0
    0.2000    0.0000      0.1987  0
    0.4000    0.0000      0.3894  0
    0.6000    0.0000      0.5646  0
    0.8000    0.0000      0.7174  0
    1.0000    0.0000      0.8415  0

   -1.0000    1.2500     -0.8153  6.93889e-18
   -0.8000    1.2500     -0.6951  0
   -0.6000    1.2500     -0.5471  3.46945e-18
   -0.4000    1.2500     -0.3773  0
   -0.2000    1.2500     -0.1925  0
    0.0000    1.2500           0  0
    0.2000    1.2500      0.1925  8.67362e-19
    0.4000    1.2500      0.3773  0
    0.6000    1.2500      0.5471  0
    0.8000    1.2500      0.6951  0
    1.0000    1.2500      0.8153  -6.93889e-18

   -1.0000    2.5000     -0.7385  0
   -0.8000    2.5000     -0.6295  0
   -0.6000    2.5000     -0.4955  3.46945e-18
   -0.4000    2.5000     -0.3417  1.73472e-18
   -0.2000    2.5000     -0.1743  -8.67362e-19
    0.0000    2.5000           0  0
    0.2000    2.5000      0.1743  8.67362e-19
    0.4000    2.5000      0.3417  0
    0.6000    2.5000      0.4955  0
    0.8000    2.5000      0.6295  0
    1.0000    2.5000      0.7385  0

   -1.0000    3.7500     -0.6157  0
   -0.8000    3.7500     -0.5249  0
   -0.6000    3.7500     -0.4131  0
   -0.4000    3.7500     -0.2849  1.73472e-18
   -0.2000    3.7500     -0.1454  -8.67362e-19
    0.0000    3.7500           0  0
    0.2000    3.7500      0.1454  8.67362e-19
    0.4000    3.7500      0.2849  0
    0.6000    3.7500      0.4131  0
    0.8000    3.7500      0.5249  0
    1.0000    3.7500      0.6157  0

   -1.0000    5.0000     -0.4546  0
   -0.8000    5.0000     -0.3876  1.73472e-18
   -0.6000    5.0000     -0.3051  0
   -0.4000    5.0000     -0.2104  0
   -0.2000    5.0000     -0.1073  -8.67362e-19
    0.0000    5.0000           0  0
    0.2000    5.0000      0.1073  0
    0.4000    5.0000      0.2104  0
    0.6000    5.0000      0.3051  0
    0.8000    5.0000      0.3876  -1.73472e-18
    1.0000    5.0000      0.4546  0


standing_wave_exact_test():
  Normal end of execution.
Wed Oct  8 08:56:34 2025
